x_m,x_over_L,M_edge,p_wall_Pa,p_wall_over_pinf,Cp,Cf,St,q_wall_W_m2,delta_mm,theta_mm,H_i,N_factor,gamma_intermittency,T_edge_K,Re_x,regime
0.3603839732888147,0.3603839732888147,3.999997899306886,5474.900090413978,1.0000000165142704,1.4744884250377317e-09,0.0008209120139689424,0.0005109498605425306,19630.057790272156,2.227737449658512,0.29584353331465035,2.6,3.508162585119291,0.0,216.6502455525225,2634179.2107699807,laminar
0.3620367278797997,0.3620367278797997,3.9999976546121316,5474.9001183252585,1.0000000216123142,1.929670908563049e-09,0.0008190360927895955,0.0005097822546984623,19585.199277754196,2.232839962718382,0.2965211470490012,2.6,3.5242513518271883,0.0,216.65027415518406,2646259.187190697,laminar
0.36368948247078464,0.36368948247078464,3.9999973814146905,5474.9001549512095,1.0000000283021078,2.526973908836444e-09,0.0008171729753996168,0.0005086226181547339,19540.64689402915,2.2379308472304054,0.2971972165121978,2.6,3.540340120573177,0.0,216.65030608955868,2658339.08859859,laminar
0.3653422370617696,0.3653422370617696,3.9999970763945085,5474.900203030947,1.0000000370839552,3.3110674392190195e-09,0.0008153225169099985,0.0005074708607299169,19496.39717570409,2.2430101826410493,0.29787175225473134,2.6,3.5564288921556475,0.0,216.65034174373136,2670418.9067689953,laminar
0.36699499165275457,0.36699499165275457,3.99999673584481,5474.900266167825,1.0000000486160159,4.340715705014099e-09,0.0008134845746866242,0.0005063268936460659,19452.446715345613,2.2480780474153783,0.2985447646967623,2.6,3.5725176676857484,0.0,216.65038155099165,2682498.6327610216,laminar
0.3686477462437396,0.3686477462437396,3.9999963556270495,5474.900349102733,1.000000063764221,5.693234020381582e-09,0.0008116590082879294,0.0005051906294899177,19408.792160816694,2.2531345190043215,0.29921626412377395,2.6,3.5886064487099043,0.0,216.6504259950989,2694578.256920948,laminar
0.37030050083472454,0.37030050083472454,3.9999959311206226,5474.900458073903,1.0000000836679945,7.470356654365815e-09,0.0008098456793979496,0.0005040619821712199,19365.43021478477,2.2581796737944164,0.2998862606798985,2.6,3.6046952373803234,0.0,216.65047561616123,2706657.768915066,laminar
0.3719532554257095,0.3719532554257095,3.9999954571667162,5474.900601290668,1.0000001098267857,9.805963004916178e-09,0.0008080444517528346,0.000502940866876991,19322.357634445587,2.263213587034258,0.3005547643581495,2.6,3.6207840366923154,0.0,216.65053101719843,2718737.157804841,laminar
0.37360601001669447,0.37360601001669447,3.9999949280056173,5474.900789557258,1.0000001442140054,1.2876250479966069e-08,0.0008062551910583165,0.0005018272000201519,19279.57123152272,2.2682363327300097,0.3012217849865453,2.6,3.63687285081455,0.0,216.65059287147008,2730816.412181881,laminar
0.3752587646076795,0.3752587646076795,3.9999943372067266,5474.901037094188,1.0000001894270558,1.6913129988307586e-08,0.0008044777648948169,0.0005007208991804627,19237.06787262115,2.273247983499821,0.3018873322087762,2.6,3.6529616855487133,0.0,216.6506619306568,2742895.5203862735,laminar
0.37691151919866445,0.37691151919866445,3.9999936775904126,5474.901362619869,1.0000002488848874,2.2221864941496942e-08,0.0008027120426058516,0.0004996218830350639,19194.844480038315,2.2782486103737543,0.30255141545763464,2.6,3.669050548969207,0.0,216.65073903399414,2754974.4708400187,laminar
0.3785642737896494,0.3785642737896494,3.9999929411407704,5474.901790774903,1.0000003270881483,2.9204298959535182e-08,0.0008009578951640101,0.0004985300712750598,19152.898033169382,2.283238282521458,0.3032140439188496,2.6,3.685139452313459,0.0,216.65082511847075,2767053.252537966,laminar
0.38021702838063437,0.38021702838063437,3.999992118908218,5474.902353997672,1.000000429961766,3.838944339490331e-08,0.0007992151950069945,0.0004974453845034661,19111.225570686358,2.288217066884101,0.3038752264822087,2.6,3.7012284112209803,0.0,216.650921230214,2779131.8557531363,laminar
0.3818697829716194,0.3818697829716194,3.9999912009007477,5474.903094994305,1.0000005653060888,5.047375793041132e-08,0.0007974838158338253,0.0004963677441083645,19069.82419372741,2.293185027679531,0.30453497167584176,2.6,3.7173174474578135,0.0,216.65102853720168,2791210.2730322583,laminar
0.38352253756260435,0.38352253756260435,3.999990175962513,5474.9040699913885,1.0000007433910005,6.637419647684721e-08,0.0007957636323482113,0.0004952970721031729,19028.691070408142,2.2981422257396185,0.3051932875782214,2.6,3.7334065913164958,0.0,216.65114834345385,2803288.5005826335,laminar
0.3851752921535893,0.3851752921535893,3.9999890316382776,5474.905353019588,1.000000977738331,8.729806526563838e-08,0.0007940545199319728,0.0004942332909233769,18987.82344206391,2.30308871762557,0.3058501817006757,2.6,3.74949588495618,0.0,216.65128210487796,2815366.540184933,laminar
0.38682804674457427,0.38682804674457427,3.999987754022076,5474.907041554991,1.000001286152257,1.148350229440192e-07,0.0007923563542260243,0.0004931763231657272,18947.21863176262,2.308024554449586,0.30650566083090497,2.6,3.765585387051157,0.0,216.65143144695892,2827444.4018109664,laminar
0.3884808013355593,0.3884808013355593,3.9999863275882523,5474.909263948556,1.000001692076304,1.5107824142431655e-07,0.000790669010589323,0.0004921260912514791,18906.874055795706,2.3129497803082377,0.307159730824934,2.6,3.78167517926037,0.0,216.65159818450908,2839522.1071841884,laminar
0.39013355592654425,0.39013355592654425,3.9999847350028244,5474.912189210602,1.0000022263805006,1.987839732661133e-07,0.0007889923633968741,0.0004910825169894593,18866.787239080055,2.3178644302026408,0.30781239633091073,2.6,3.797765375231186,0.0,216.65178434371842,2851599.6945987158,laminar
