station,x_m,y_mm,u_over_Ue,T_over_Te,T_K,M_local
upstream_laminar,0.2,0.6329933923396859,0.5443031541686346,2.24428616097265,486.2245967873013,2.1772126166484442
upstream_laminar,0.2,0.668159691914113,0.5711995034180709,2.203923597528885,477.48004741698344,2.2847980136448998
upstream_laminar,0.2,0.7033259914885399,0.5975537907965274,2.1603494502267875,468.0397084037398,2.390215163157462
upstream_laminar,0.2,0.7384922910629669,0.623337486731847,2.1138631041810525,457.9684415326708,2.4933499468975047
upstream_laminar,0.2,0.773658590637394,0.6485220616518728,2.0647754020514686,447.3335908660214,2.5940882465764004
upstream_laminar,0.2,0.8088248902118209,0.6730789859844482,2.0134076869182262,436.20477538211657,2.6923159439055246
upstream_laminar,0.2,0.8439911897862479,0.6969797301574163,1.9600907984682274,424.65367149912555,2.7879189205962516
upstream_laminar,0.2,0.8791574893606748,0.72019576459862,1.9051640224923774,412.75378548364984,2.8807830583599534
upstream_laminar,0.2,0.9143237889351019,0.7426985597359029,1.8489739936938678,400.58021574413783,2.970794238908006
upstream_laminar,0.2,0.949490088509529,0.7644595859971078,1.791873551807458,388.2094050091272,3.0578383439517824
upstream_laminar,0.2,0.9846563880839558,0.7854503138100779,1.7342205510297395,375.71888239031136,3.1418012552026564
upstream_laminar,0.2,1.019822687658383,0.8056422136026564,1.6763766227603936,363.18699533043343,3.222568854372003
upstream_laminar,0.2,1.0549889872328098,0.8250067558026867,1.6187058916544397,350.69263143600534,3.3000270231711952
upstream_laminar,0.2,1.090155286807237,0.8435154108380117,1.5615736449854798,338.31493019485504,3.374061643311608
upstream_laminar,0.2,1.125321586381664,0.8611396491364744,1.505344955319924,326.1329845784973,3.444558596504614
upstream_laminar,0.2,1.1604878859560908,0.8778509411259182,1.4503832565022137,314.2255325293323,3.511403764461588
upstream_laminar,0.2,1.1956541855305178,0.8936207572341865,1.3970488729510344,302.6706383326705,3.5744830288939053
upstream_laminar,0.2,1.2308204851049451,0.9084205678891221,1.3456975022665199,291.54536387358263,3.6336822715129378
upstream_laminar,0.2,1.2659867846793718,0.9222218435185682,1.2966786511484454,280.9254297785771,3.6888873740300605
upstream_laminar,0.2,1.3011530842537988,0.9349960545503678,1.2503340246254124,270.8848664421023,3.7399842181566467
upstream_laminar,0.2,1.336319383828226,0.9467146714123644,1.2069958685950244,261.4956549378759,3.7868586856040714
upstream_laminar,0.2,1.3714856834026528,0.957349164532401,1.1669852656750548,252.82735781504024,3.829396658083708
upstream_laminar,0.2,1.4066519829770798,0.9668710043383208,1.1306103843656041,244.9467397791439,3.8674840173069307
upstream_laminar,0.2,1.441818282551507,0.975251661257967,1.0981646815222477,237.9173782579489,3.901006644985114
