x_m,y_m,p_Pa,T_K,Mach,u_ms,v_ms
0.6030150753768845,0.0,29835.796200032935,470.0,2.735763071416208,0.0,0.0
0.6080402010050251,0.0,29836.179839567714,470.0,2.735743161998133,0.0,0.0
0.6130653266331658,0.0,29836.320268253723,470.0,2.735735874288796,0.0,0.0
0.6180904522613065,0.0,29836.37167053405,470.0,2.735733206707913,0.0,0.0
0.6231155778894473,0.0,29836.390485644464,470.0,2.735732230275962,0.0,0.0
0.628140703517588,0.0,29836.39737264891,470.0,2.7357318728668885,0.0,0.0
0.6331658291457286,0.0,29836.39989353757,470.0,2.735731742042451,0.0,0.0
0.6381909547738693,0.0,29836.400816272286,470.0,2.735731694156064,0.0,0.0
0.6432160804020101,0.0,29836.401154025905,470.0,2.7357316766279487,0.0,0.0
0.6482412060301508,0.0,29836.401277655707,470.0,2.735731670212037,0.0,0.0
0.6532663316582915,0.0,29836.401322908594,470.0,2.735731667863586,0.0,0.0
0.6582914572864321,0.0,29836.401339472755,470.0,2.7357316670039697,0.0,0.0
0.6633165829145728,0.0,29836.40134553582,470.0,2.7357316666893197,0.0,0.0
0.6683417085427136,0.0,29836.40134775512,470.0,2.7357316665741465,0.0,0.0
0.6733668341708543,0.0,29836.40134856746,470.0,2.735731666531989,0.0,0.0
0.678391959798995,0.0,29836.401348864805,470.0,2.735731666516558,0.0,0.0
0.6834170854271356,0.0,29836.401348973646,470.0,2.73573166651091,0.0,0.0
0.6884422110552764,0.0,29836.40134901349,470.0,2.7357316665088423,0.0,0.0
0.6934673366834171,0.0,29836.40134902807,470.0,2.7357316665080855,0.0,0.0
0.6984924623115578,0.0,29836.401349033404,470.0,2.7357316665078084,0.0,0.0
0.7035175879396985,0.0,29836.40134903536,470.0,2.735731666507707,0.0,0.0
0.7085427135678392,0.0,29836.401349036078,470.0,2.73573166650767,0.0,0.0
0.7135678391959799,0.0,29836.401349036336,470.0,2.7357316665076565,0.0,0.0
0.7185929648241206,0.0,29836.401349036434,470.0,2.735731666507651,0.0,0.0
0.7236180904522613,0.0,29836.401349036467,470.0,2.7357316665076494,0.0,0.0
0.7286432160804021,0.0,29836.40134903648,470.0,2.7357316665076485,0.0,0.0
0.7336683417085427,0.0,29836.401349036485,470.0,2.7357316665076485,0.0,0.0
0.7386934673366834,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7437185929648241,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7487437185929648,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7537688442211056,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7587939698492463,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7638190954773869,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7688442211055276,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7738693467336684,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7788944723618091,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7839195979899498,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7889447236180904,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7939698492462312,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.7989949748743719,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8040201005025126,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8090452261306533,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8140703517587939,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
0.8190954773869347,0.0,29836.40134903649,470.0,2.7357316665076485,0.0,0.0
