x_m,delta_star_mm,theta_mm,H_i,Re_theta
0.2628714524207011,0.6569378980777812,0.2526684223376081,2.6,1846.8503046565852
0.2645242070116861,0.6589998486071507,0.2534614802335195,2.6,1852.6470680033399
0.2661769616026711,0.6610553675766423,0.2542520644525547,2.6,1858.4257502166174
0.2678297161936561,0.6631045147971024,0.2550401979988855,2.6,1864.1865194329885
0.269482470784641,0.6651473491581134,0.2558259035223513,2.6,1869.9295411979112
0.271135225375626,0.6671839286477461,0.2566092033260562,2.6,1875.6549785211246
0.272787979966611,0.66921431037177,0.2573901193737577,2.6,1881.3629919304913
0.274440734557596,0.6712385505723444,0.2581686732970555,2.6,1887.0537395243782
0.2760934891485809,0.6732567046462017,0.2589448864023852,2.6,1892.727377022579
0.2777462437395659,0.675268827162345,0.259718779677825,2.6,1898.3840578158488
0.2793989983305509,0.6772749718792721,0.26049037379972,2.6,1904.0239330140807
0.2810517529215359,0.6792751917617446,0.2612596891391325,2.6,1909.647151493181
0.2827045075125208,0.681269538997113,0.2620267457681204,2.6,1915.253859940654
0.2843572621035058,0.6832580650112174,0.2627915634658528,2.6,1920.84420289997
0.2860100166944908,0.6852408204838724,0.2635541617245663,2.6,1926.4183228137044
0.2876627712854758,0.6872178553639529,0.2643145597553665,2.6,1931.9763600655351
0.2893155258764607,0.6891892188840938,0.2650727764938822,2.6,1937.51845302108
0.2909682804674458,0.691154959575013,0.2658288306057742,2.6,1943.04473806763
0.2926210350584307,0.6931151252794727,0.2665827404921049,2.6,1948.5553496528078
0.2942737896494157,0.6950697631658894,0.2673345242945729,2.6,1954.0504203221476
0.2959265442404006,0.6970189197416051,0.2680841999006174,2.6,1959.5300807556655
0.2975792988313856,0.698962640865826,0.2688317849483946,2.6,1964.994459803392
0.2992320534223706,0.7009009717622481,0.2695772968316339,2.6,1970.44368451993
0.3008848080133556,0.7028339570313685,0.2703207527043725,2.6,1975.8778801980136
0.3025375626043405,0.7047616406625038,0.2710621694855784,2.6,1981.2971704011288
0.3041903171953255,0.7066840660455157,0.2718015638636599,2.6,1986.7016769951579
0.3058430717863105,0.7086012759822591,0.2725389523008689,2.6,1992.091520179097
0.3074958263772955,0.7105133126977587,0.2732743510375995,2.6,1997.4668185148391
0.3091485809682804,0.7124202178511272,0.2740077760965874,2.6,2002.82768895603
0.3108013355592654,0.7143220325462256,0.2747392432870098,2.6,2008.1742468759771
0.3124540901502504,0.7162187973420836,0.2754687682084937,2.6,2013.5066060946601
0.3141068447412354,0.7181105522630837,0.2761963662550322,2.6,2018.8248789047814
0.3157595993322203,0.7199973368089146,0.2769220526188133,2.6,2024.1291760968866
0.3174123539232053,0.7218791899643077,0.2776458422939645,2.6,2029.4196069835266
0.3190651085141903,0.7237561502085601,0.2783677500802154,2.6,2034.696279422441
0.3207178631051753,0.7256282555248555,0.2790877905864829,2.6,2039.959299838757
0.3223706176961602,0.7274955434093846,0.2798059782343787,2.6,2045.208773246161
0.3240233722871452,0.7293580508802813,0.2805223272616466,2.6,2050.4448032670193
0.3256761268781302,0.7312158144863738,0.2812368517255284,2.6,2055.6674921514036
0.3273288814691152,0.7330688703157603,0.2819495655060616,2.6,2060.8769407949794
0.3289816360601001,0.7349172540042203,0.2826604823093155,2.6,2066.0732487557148
0.3306343906510851,0.7367610007434612,0.283369615670562,2.6,2071.256514269327
0.3322871452420701,0.7386001452892136,0.2840769789573898,2.6,2076.4268342634277
0.3339398998330551,0.7404347219691702,0.2847825853727578,2.6,2081.584304370261
0.33559265442404,0.7422647646907894,0.2854864479579959,2.6,2086.7290189379796
0.337245409015025,0.7440903069489495,0.2861885795957498,2.6,2091.861071040333
0.33889816360601,0.7459113818334699,0.2868889930128731,2.6,2096.9805524846897
0.340550918196995,0.7477280220364907,0.2875877007832656,2.6,2102.087553818262
0.34220367278798,0.7495402598597111,0.2882847153306581,2.6,2107.1821643324106
0.3438564273789649,0.7513481272214849,0.2889800489313404,2.6,2112.2644720649114
0.3455091819699499,0.7531516556637534,0.2896737137168282,2.6,2117.334563800025
0.3471619365609349,0.7549508763588026,0.2903657216764626,2.6,2122.3925250662246
0.3488146911519199,0.7567458201158193,0.2910560846599305,2.6,2127.438440131469
0.3504674457429048,0.758536517387204,0.2917448143796938,2.6,2132.4723919958387
0.3521202003338898,0.7603229982745814,0.2924319224133005,2.6,2137.4944623814304
0.3537729549248748,0.7621052925344409,0.2931174202055542,2.6,2142.5047317194176
0.3554257095158598,0.7638834295832899,0.2938013190704961,2.6,2147.503279134193
0.3570784641068447,0.7656574385021784,0.2944836301931455,2.6,2152.4901824246185
0.3587312186978297,0.7674273480403982,0.2951643646309224,2.6,2157.4655180424643
0.3603839732888147,0.7691931866180908,0.2958435333146503,2.6,2162.4293610683035
0.3620367278797997,0.7709549823274031,0.2965211470490012,2.6,2167.3817851852396
0.3636894824707846,0.7727127629317144,0.2971972165121978,2.6,2172.322862651215
0.3653422370617696,0.7744665558623013,0.2978717522547313,2.6,2177.252664270944
0.3669949916527545,0.7762163882115819,0.2985447646967623,2.6,2182.1712593690504
0.3686477462437396,0.7779622867218122,0.2992162641237739,2.6,2187.078715766674
0.3703005008347245,0.7797042777677361,0.2998862606798985,2.6,2191.9750997647598
0.3719532554257095,0.7814423873311888,0.3005547643581495,2.6,2196.8604761384727
0.3736060100166944,0.7831766409650177,0.3012217849865453,2.6,2201.7349081488887
0.3752587646076795,0.7849070637428183,0.3018873322087762,2.6,2206.5984575803554
0.3769115191986644,0.7866336801898499,0.3025514154576346,2.6,2211.451184814967
0.3785642737896494,0.7883565141890089,0.3032140439188496,2.6,2216.2931489595367
0.3802170283806343,0.7900755888537426,0.3038752264822087,2.6,2221.1244080458932
0.3818697829716194,0.7917909263571884,0.3045349716758417,2.6,2225.9450193323387
0.3835225375626043,0.7935025477033756,0.3051932875782214,2.6,2230.755039743608
0.3851752921535893,0.7952104724217568,0.3058501817006757,2.6,2235.5545264990865
0.3868280467445742,0.7969147181603529,0.3065056608309049,2.6,2240.3435379957195
0.3884808013355593,0.7986153001448284,0.307159730824934,2.6,2245.1221350338315
0.3901335559265442,0.8003122304603678,0.3078123963309107,2.6,2249.8903825032457
0.3917863105175292,0.8020055170993822,0.3084636604228393,2.6,2254.6483516853928
0.3934390651085142,0.8036951626998351,0.3091135241153211,2.6000000000000005,2259.3961233778864
0.3950918196994992,0.8053811628749049,0.3097619857211172,2.600000000000001,2264.133792115184
0.3967445742904841,0.8070635040029287,0.3104090400011262,2.600000000000002,2268.8614718475496
0.3983973288814691,0.8087421603046545,0.3110546770402512,2.6000000000000045,2273.5793035577035
0.4000500834724541,0.8104170899795541,0.3116988807613657,2.6000000000000103,2278.2874654492057
0.401702838063439,0.8120882301000045,0.3123416269615372,2.600000000000025,2282.986186544728
0.403355592654424,0.8137554898659913,0.3129828807176817,2.60000000000006,2287.675764801961
0.405008347245409,0.8154187416962174,0.3136225929600665,2.6000000000001418,2292.356591210363
0.406661101836394,0.817077809464411,0.3142606959478098,2.600000000000336,2297.029181800956
0.4083138564273789,0.8187324529695607,0.3148970972958893,2.600000000000789,2301.694220119684
0.4099666110183639,0.8203823474390638,0.3155316720917236,2.6000000000018457,2306.3526135295715
0.4116193656093489,0.8220270564826252,0.3161642524927956,2.600000000004291,2311.005567780023
0.4132721202003339,0.8236659964138819,0.316794614004131,2.6000000000099157,2315.6546856936625
0.4149248747913188,0.8252983891993819,0.3174224573815974,2.600000000022773,2320.3020976775847
0.4165776293823038,0.826923200433503,0.318047384775757,2.6000000000519883,2324.9506342034733
0.4182303839732888,0.8285390576125967,0.3186688682980789,2.600000000117965,2329.6040535962143
0.4198831385642738,0.8301441425160028,0.3192862086273297,2.600000000266048,2334.267342649872
0.4215358931552587,0.8317360496009264,0.3198984805423633,2.600000000596382,2338.9471130405577
0.4231886477462437,0.8333115998684932,0.3205044613240849,2.6000000013287567,2343.6521235873656
0.4248414023372287,0.8348665965274573,0.3211025367625426,2.600000002942507,2348.393967566885
0.4264941569282137,0.8363955048280384,0.3216905779787067,2.600000006476413,2353.187976039612
0.4281469115191986,0.8378910335297717,0.3222657803708228,2.6000000141672883,2358.0544030967017
0.4297996661101836,0.8393435895278378,0.3228244536864008,2.6000000308006275,2363.0199777119683
0.4314524207011686,0.8407405702588263,0.3233617495153638,2.6000000665473904,2368.1199300492003
0.4331051752921536,0.842065451013812,0.3238713095151755,2.600000142878836,2373.400627928041
0.4347579298831385,0.8432966171825549,0.3243448147388811,2.6000003048035905,2378.9229913657773
0.4364106844741235,0.8444058868332747,0.3247714142464657,2.6000006459696103,2384.766888098312
0.4380634390651085,0.8453566709622607,0.3251370111101322,2.600001359660395,2391.036746822194
0.4397161936560935,0.8461017345912317,0.3254233884582806,2.6000028412208063,2397.8686496198193
0.4413689482470784,0.8465805641995678,0.3256071715695014,2.600005890898701,2405.4391659111584
0.4430217028380634,0.8467164356626011,0.3256586509586029,2.6000121082925998,2413.976141688806
0.4446744574290484,0.8464134402967399,0.3255405456646363,2.600024640766849,2423.771516688895
