x_m,y_m,z_m,p_Pa,T_K,Mach,u_ms,v_ms,w_ms
0.0,0.006521739130434783,0.28474576271186436,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.013043478260869566,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.06101694915254237,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.08135593220338982,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.10169491525423728,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.12203389830508474,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.14237288135593218,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.013043478260869566,0.16271186440677965,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.18305084745762712,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.20338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.223728813559322,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.24406779661016947,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.26440677966101694,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.013043478260869566,0.28474576271186436,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.01956521739130435,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.06101694915254237,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.08135593220338982,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.10169491525423728,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.12203389830508474,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.14237288135593218,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.01956521739130435,0.16271186440677965,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.18305084745762712,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.20338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.223728813559322,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.24406779661016947,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.26440677966101694,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.01956521739130435,0.28474576271186436,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.026086956521739132,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.06101694915254237,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.08135593220338982,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.10169491525423728,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.12203389830508474,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.14237288135593218,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.026086956521739132,0.16271186440677965,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.18305084745762712,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.20338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.223728813559322,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.24406779661016947,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.26440677966101694,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.026086956521739132,0.28474576271186436,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.03260869565217391,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.06101694915254237,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.08135593220338982,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.10169491525423728,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.12203389830508474,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.14237288135593218,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.03260869565217391,0.16271186440677965,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.18305084745762712,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.20338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.223728813559322,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.24406779661016947,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.26440677966101694,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.03260869565217391,0.28474576271186436,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0391304347826087,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.06101694915254237,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.08135593220338982,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.10169491525423728,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.12203389830508474,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.14237288135593218,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.0391304347826087,0.16271186440677965,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.18305084745762712,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.20338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.223728813559322,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.24406779661016947,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.26440677966101694,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.0391304347826087,0.28474576271186436,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.04565217391304348,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.04565217391304348,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.04565217391304348,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
